name,prompt,negative_prompt
人物|性别|女,"",
小豚豚豚鼠*,"<lora:0 A 小豚豚豚鼠Lora_v10:1.0>",
女王,"queen",
尊贵的,"divine,prestige",
人物|性别|男,"",
男性," 1boy,abs,muscular, Veined penis,erection,testicles",
兽人*," Green Skin orcs",
黑人*,"dark skin,dark-skinned male",
人物|身体,"",
丰满*,"(huge breasts),((huge Crotch)),claviculate,slim,slender,delicate waist,narrow waist",
中等身材*,"large breasts,huge Crotch,claviculate,slim,slender,delicate waist,narrow waist",
苗条*,"firm breasts,medium breasts,large Crotch,claviculate,slim,slender,delicate waist,narrow waist",
大长腿,"very long legs",
大粗腿,"thick thighs",
全裸," completely nude",
有光泽的皮肤,"shiny skin, shiny",
充满液体 潮湿,"full of liquid,wet",
人物|动作,"",
跪*,"kneeling",
站立*,"standing",
分腿站立*,"standing split",
回头,"looking back",
看镜头,"looking at viewer",
身体前倾,"leans forward",
手叉腰,"hand on hip",
M字腿,"squat,spread legs",
绑,"tied up",
钉在十字架上,"crucified,",
歪头,"tilted head,head tilt,",
亲吻彼此,"kissing each other",
人物|关系描述,"",
sex,"hetero,vaginal, penis,female pubic hair,sex",
口交,"oral,fellatio,oral invitation,irrumatio, deepthroat",
触手,"Tentacle sex, penis,female pubic hair,sex",
clothed sex,clothed sex,
cowgirl,"<lora:4 povSquattingCowgirlLora_pscowgirl>,girl on top, squatting cowgirl position,straddling",
传教士,"lying, on back, missionary,spread legs",
抬腿,"lying, spread legs,  on side,leg lift, leg up, cross",
抬腿,"(spooing position,<lora:4 spooningPositionLora_v10:1>),leg lift, leg up",
后入,"anus, pov, backboob,doggystyle, pussy, back,top-down bottom-up, sex from behind, all fours",
人物|头部,"",
完美脸部," perfect face, beautiful face, detailed face",
银发,"silver hair, absurdly long hair, very long hair, short bangs",
马尾," braid,twin braided ponytail",
淡紫色头发,"floating hair,lilac hair,lavender hair,Gradient hair",
场景,"",
雪中城堡^,"huge castle, snowy scenery, clearly visible snowflakes, royal palace, castle rooftop, mountain, trees, grass, snowing, the snow is dancing",
端庄的站在城堡的屋顶^,"standing demurely on top of the castle roof",
地牢^,"shackles,torture, tied up,Mouth balls,cuffs,Chains,wounds",
赌场^," gambling table,luxurious and bustling casino",
甲板^,"aircraft carrier deck,rough sea,seagull",
咖啡馆^,"beautiful detailed sky,detailed cafe,sitting,dating",
中世纪酒馆^,"medieval tavern,bonfire,wine barrel",
卧室^,"bedroom,pillow,curtains,sheet grab,",
厨房^,"kitchen",
浴室^,"bathroom",
汽车^,"(in car:1.2),(Rear of the car:0.8),(trunk:0.8)",
自行车^,"bicycle, ground vehicle, helmet, fingerless gloves, bike shorts, gloves, sunglasses, outdoors, riding,short sleeves,road",
电竞房^,"Cyberpunk,Game room,night,(beautiful detailed sky:1.2),keyboard,mouse(computer),monitor,(E-sports chair:0.8),(Ambience lamp:1.2),(Game TV,playstation 4:0.8)",
羽毛球馆^,"Badminton Hall,badminton racket,swing",
瑜伽室^,"ballet classroom corner,(floor to ceiling windows:0.8),(Mirror of the whole wall:o.8),yoga mat, yoga ball,Female dumbbell,Stripper pole",
漂亮详细的天空,"beautiful detailed sky",
天际线,"skyline",
银河,"galaxy",
城市景象,"cityscape,",
